@relation banana-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute class {m,p}

@data
-0.9412,0.976,p
0.6601,0.835,p
0.9573,-0.5721,m
0.5859,-0.273,m
-0.3831,0.6711,m
-0.5605,-1.406,p
-0.0275,-0.5821,m
-0.8668,0.214,m
2.3196,1.2963,m
0.143,0.8451,p
1.3065,-1.7181,m
1.1384,-1.5726,m
1.6188,-0.1305,p
-1.2843,0.5593,p
-0.6358,1.721,p
2.4837,1.2059,m
0.5752,-0.1899,m
1.1729,-1.389,m
-0.0007,2.0027,m
1.6427,-0.308,p
-1.2131,0.7777,p
1.2868,-1.1897,m
-0.8334,-0.569,p
-0.3261,0.0769,m
1.9266,-0.8423,p
-0.8496,0.9628,p
0.0346,1.6993,p
0.5942,1.8035,p
-0.1684,1.3204,p
-0.4005,-1.167,p
-1.5282,0.6557,p
-0.2412,0.7742,m
0.0745,1.7801,p
0.3095,-0.6887,m
-0.4483,-0.3541,m
1.2604,-1.2536,m
0.1824,-0.0823,m
-1.5941,0.1764,p
-0.4873,-1.1942,p
-0.8321,-1.3278,p
-0.0051,1.7496,p
-0.3533,1.9805,m
-0.3694,-0.9838,p
-0.6784,1.6024,p
-0.0029,0.5129,m
0.3738,0.9661,p
1.6411,0.5128,p
-1.0479,-0.3818,m
-0.7345,-1.1886,p
0.8112,-1.6477,m
-1.9613,0.4452,p
0.3118,-1.2267,p
0.5529,-0.1593,m
-0.1442,-1.0289,p
1.7836,-0.5083,p
1.2438,0.6081,p
-0.0819,1.6361,p
0.0085,1.3095,p
1.3122,0.1514,p
-1.0666,-0.4562,m
-0.9028,-0.0822,m
1.1832,-0.7889,p
0.6622,1.4876,p
-0.4725,0.4113,m
1.4632,-0.0465,p
-0.0789,-1.3494,p
0.133,2.042,m
0.3074,-0.6782,p
1.0532,0.7759,p
1.4634,0.0665,p
-0.5789,-0.397,m
1.2189,1.0366,p
-1.3973,0.5529,p
-0.5071,0.6897,m
-0.7169,1.2291,p
-1.4658,-0.0358,m
-0.7526,-1.0767,p
-0.4404,-1.299,p
-0.6416,-1.3495,p
0.0489,-1.3643,p
1.4343,0.147,p
-0.6894,-1.454,p
0.1585,0.5858,m
-0.693,0.9527,p
0.5069,1.0166,p
2.5525,1.3985,m
1.1319,0.4047,p
-0.7796,-1.5156,p
2.064,-0.8934,p
-0.2985,-0.2425,m
-0.9913,0.1141,m
-1.3147,0.1754,m
-0.7107,0.96,p
0.2496,-1.0988,p
1.1366,0.148,p
1.0331,0.2796,p
-0.0693,-1.3032,p
-0.9355,1.8104,p
1.028,0.5476,p
-0.6385,1.3187,p
-0.1976,-0.6608,m
1.7031,0.0023,p
0.7215,0.1525,p
-0.348,0.1185,m
1.4508,0.1687,p
0.6432,-0.3507,m
1.3316,-1.7115,m
-1.0581,-0.881,p
0.5691,1.1476,p
1.0528,-0.2297,p
0.8545,-0.8268,m
0.1831,-1.2098,p
-1.0058,-0.0908,m
0.2776,0.3825,m
0.7992,-0.8342,m
1.0085,0.4798,p
0.2105,-1.2777,p
-0.2095,0.3446,m
-1.0381,-0.2,m
-0.58,-1.0917,p
-0.1763,-0.2069,m
1.2264,0.3539,p
-1.0939,0.2889,m
-0.1555,-1.0317,p
0.0967,-1.4047,p
-0.7531,1.1793,p
-1.2078,-0.9345,p
-1.5226,-0.7401,m
-0.4389,-0.9605,p
-0.2506,0.8458,m
-0.5084,-0.7147,m
