@relation clouds-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute class {u,m}

@data
1.837831,2.789353,u
2.011207,0.20675,u
0.037681,0.320783,u
1.995567,-0.823945,u
-0.707203,-0.628893,m
1.93993,2.675447,u
1.839782,1.20985,u
0.06012,0.061786,u
1.678869,-0.184932,u
-0.175748,-0.058965,m
-0.099055,0.153899,m
-0.585509,2.343775,m
2.127734,1.351852,u
2.057641,-0.130914,u
1.848922,1.272928,u
-1.003012,1.04281,m
0.083496,2.310164,u
-1.248211,0.20699,m
0.332491,-0.349474,m
0.247369,2.003612,u
-0.886932,0.711199,m
1.812185,0.396325,u
-0.726795,1.674204,m
-0.404661,1.129199,m
2.199324,0.589951,u
0.62458,-1.323622,m
0.327803,-0.076656,u
2.189812,-0.113993,u
0.750686,0.215434,m
0.804505,0.292027,m
1.330686,-0.153198,m
0.244055,-1.608761,m
-1.23171,-1.275424,m
2.237609,-2.639928,u
-0.205598,-0.042285,u
-1.532384,1.069489,m
0.234179,1.802177,u
0.155948,0.678331,m
1.120657,-0.397339,m
2.009214,1.941223,u
1.713794,1.451391,u
1.591977,1.449671,u
2.163548,-1.407896,m
-0.810847,1.789353,m
1.964431,-0.868135,u
0.076002,1.969016,u
0.316197,2.021759,m
1.61471,0.866629,u
2.224886,0.736116,m
0.483424,0.351599,m
0.450147,1.789148,m
-0.396065,-0.261032,m
-1.24562,-1.941758,m
-0.103638,0.565392,m
-2.185848,0.191949,m
-0.466638,0.236225,m
0.407987,1.691584,m
0.340442,-1.30633,m
1.803894,0.813582,u
1.814516,1.184051,u
2.161383,1.096996,u
0.093077,-0.1934,u
1.773924,-0.126063,u
1.882445,0.759998,u
-0.980528,-0.186418,m
2.259983,1.236081,u
1.684286,1.420939,u
-0.437848,1.148657,m
-0.232156,1.97794,u
2.07679,0.145414,m
-0.337939,0.937523,m
-0.249453,0.104319,u
0.682773,0.882659,m
1.873188,1.626699,u
-0.319948,-0.266341,u
-2.421803,-0.452569,m
1.718949,2.728108,u
1.768862,2.282349,u
0.519611,-0.408847,m
-1.307376,1.090714,m
1.897099,0.946655,u
0.119869,2.11632,u
-0.05946,0.207225,m
-0.199696,0.059461,u
2.090029,2.789148,u
2.333119,0.639282,u
2.182277,1.993993,u
-0.064949,2.381141,u
-0.139085,2.072319,u
0.123103,2.297218,u
-0.208991,0.202581,u
1.281793,0.506547,m
-0.207958,2.3577,u
0.116988,0.430299,u
0.385117,0.059282,u
-0.080655,0.289724,u
-0.215559,0.755865,m
-1.057595,-1.767494,m
1.898854,1.203878,m
1.647928,0.812748,m
2.422279,2.444154,u
-0.197891,1.90698,m
2.022578,-0.490808,u
-0.478981,0.389054,u
1.799891,-0.442353,u
-0.093087,-0.013973,u
-0.574034,0.904391,m
-0.162948,-0.040286,m
-0.328285,-1.02852,m
-0.261842,1.931873,u
-1.187714,-0.073965,m
1.270103,-0.075137,m
1.885029,3.061208,u
1.991711,1.84517,u
2.089317,0.884555,m
1.95648,0.858568,u
2.399525,-0.41606,u
-0.698996,-0.870516,m
1.11422,0.67613,m
2.041942,1.629612,u
-1.170941,-0.29797,m
-0.100691,-0.09043,m
1.839538,-0.13615,m
-0.259539,3.75691,m
-0.566034,-0.978972,m
1.965021,1.624121,u
1.029861,-0.55114,m
0.317364,0.079429,u
2.247885,1.425691,u
-0.313458,-0.070448,u
-1.32877,-1.289045,m
2.13362,-1.107306,u
2.245426,1.763491,u
1.970962,1.013074,u
-0.092705,-0.035345,u
0.112891,-1.490808,m
0.288542,-0.156143,u
0.320069,1.946201,u
1.356258,1.220438,m
1.609374,0.870255,m
0.010666,2.158926,u
1.98959,0.78586,u
-0.499947,2.912038,m
-0.84265,-0.29607,m
1.578609,0.114943,u
2.123513,-0.680767,u
0.91068,-0.179389,m
-0.420267,0.662483,m
0.148501,2.067518,u
-0.27213,-0.252514,u
0.546634,-0.235014,m
1.967722,-1.437908,u
0.206137,-0.102483,u
0.068169,0.325113,u
-0.754237,1.724905,m
0.983909,0.119841,m
1.884397,1.107762,u
-1.062001,0.822619,m
-0.341495,1.517911,m
0.345258,-1.102325,m
0.134038,-1.216159,m
-0.538227,-0.535799,m
-0.107423,1.915454,u
0.309421,0.050504,m
0.044247,2.148835,u
-0.078456,0.117651,m
1.670393,0.121637,u
1.803651,0.913539,u
1.363162,-1.092637,m
-0.098717,-0.046493,m
-1.925464,-1.482949,m
-1.029175,-0.065917,m
0.0761,-0.570921,m
0.018063,-0.300186,u
-0.419627,-0.454164,m
-0.18677,0.20224,u
-0.17483,1.720511,u
0.017084,2.030001,u
1.777365,1.829055,u
1.369475,-0.799529,m
0.121603,0.095883,u
-0.075648,0.111838,u
-0.334423,1.61813,m
-1.627352,0.408085,m
1.89849,2.127033,u
-1.285092,0.02239,m
-0.198802,-1.280959,m
2.285693,0.62125,u
0.076658,2.002526,u
1.9875,2.74591,u
2.010393,-0.417969,m
0.876579,1.253366,m
-0.107151,2.107949,u
-0.755789,-0.380284,m
0.192334,2.097073,u
2.376187,1.982922,u
-0.572752,-0.352009,m
2.286103,2.296628,u
-1.422787,0.92668,m
1.513072,0.239574,u
2.236366,0.37912,u
-0.0955,2.01943,u
2.292019,0.316242,u
2.041631,-0.469571,u
0.163234,1.881624,u
0.055602,2.069466,u
0.034384,1.785765,u
2.016527,0.801272,u
0.071744,-0.332479,u
2.270241,1.675425,u
1.872084,0.799201,u
0.057187,1.89239,u
1.932111,0.769958,u
1.846921,2.432138,u
2.213295,0.524387,u
0.727878,0.505164,m
-0.720622,-2.635476,m
0.171137,-1.33331,m
1.894735,0.693611,u
1.748044,1.505128,u
0.120906,0.182562,m
0.73467,-0.533995,m
-0.061379,1.885664,u
-0.24402,0.208268,m
0.231861,-0.809914,m
0.085687,1.996952,m
2.172018,1.164603,u
-1.440655,0.484967,m
0.796343,0.438416,m
-0.253828,1.550307,m
-0.370652,0.285051,m
-0.054862,0.256205,u
1.338602,-0.012357,m
1.319185,-0.912618,m
1.934911,1.853056,u
1.753964,2.690961,u
1.991253,0.626729,u
2.067584,0.934574,u
1.712354,1.012405,u
-0.236816,0.073095,u
-0.271697,1.098951,m
0.127077,0.513971,u
0.037111,1.41392,m
-0.212392,0.036607,u
0.16224,-0.199579,u
0.263788,0.127272,m
1.900731,0.486574,u
-1.794115,-1.365195,m
1.892573,0.788928,u
0.035726,-0.397797,m
0.278381,2.085606,u
1.794874,0.258152,m
1.427183,-0.766159,m
0.187481,-1.039994,m
-0.088211,-0.282286,m
-2.368018,-0.629518,m
0.839213,-0.284378,m
-0.438438,1.646236,u
2.038523,1.660433,u
-0.679928,-0.992201,m
0.157032,-1.578989,m
-0.108485,-1.368418,m
0.073903,2.127486,u
2.064591,-0.476523,u
-1.414924,-0.796961,m
0.324408,-0.113851,u
0.046776,0.021797,u
0.118215,-0.276138,m
-0.421731,1.606836,m
1.934127,0.038976,u
-0.077534,1.968351,u
1.68967,1.341926,u
1.968784,1.263437,u
-0.185978,2.033235,u
0.805183,-1.462576,m
-0.123206,0.893637,m
-0.470919,-0.705218,m
-0.287204,2.168927,u
-1.091408,0.197549,m
2.101533,0.260134,u
1.861254,0.927399,u
2.033254,-0.60327,m
-0.213949,-0.441436,m
2.174836,0.931884,u
1.836854,-0.696856,m
0.584745,-0.019613,m
0.062233,-0.175253,u
0.366729,-1.809913,m
-1.551109,-0.063357,m
-0.959984,-1.228261,m
-0.71289,0.051828,m
0.093975,-0.086571,u
-0.071367,-0.81154,m
2.116219,2.513814,u
-0.268087,1.745335,m
-0.261088,0.10349,m
0.31953,-0.821339,m
1.721725,0.299194,u
0.119525,1.901322,u
-1.188543,-1.691059,m
1.921527,0.910198,u
0.678591,-0.365247,m
0.139355,-1.29791,m
-0.961426,0.097707,m
-0.170631,1.429997,m
2.015557,-0.998612,u
0.12823,-0.2606,u
-2.665302,-1.749448,m
0.093662,1.973578,m
-0.084286,1.920633,u
0.124503,-0.172438,u
-0.135819,2.211373,u
0.083168,0.416345,u
-0.08134,2.270718,u
2.030361,1.507127,u
2.075626,2.072827,u
0.814986,0.082477,m
1.122822,-0.404677,m
0.195507,0.478472,m
-1.509912,-1.589214,m
-0.178371,2.063261,u
1.779542,0.966681,u
0.285956,-1.044867,m
2.311155,1.335737,u
1.304264,1.56643,m
1.791552,-0.272562,m
0.183565,-0.789535,m
0.003775,0.317377,m
2.071737,1.74288,u
-0.265385,-0.583965,m
1.949646,0.722987,u
2.495083,2.013403,u
2.04287,2.248411,u
0.530175,1.905141,u
1.038331,0.707507,m
1.15744,-0.428067,m
1.642757,-0.583599,m
-0.587381,-0.150414,m
-1.67018,1.26258,m
-0.116112,2.07077,u
1.775707,-0.510158,m
-1.38007,0.346519,m
-0.149839,2.006801,u
-0.687551,-0.047695,m
0.007453,-0.050538,m
0.757308,1.420746,m
1.868412,0.537336,u
3.329659,0.222987,m
-0.156866,0.302447,m
-0.181501,1.826199,u
1.81687,0.802225,m
1.814427,0.769226,u
1.813537,0.95436,u
2.233492,-0.347276,u
0.602882,-1.159406,m
0.333308,1.090404,m
0.614037,-0.508764,m
2.069614,1.500724,u
1.999299,1.52228,u
-0.834816,-1.356122,m
-0.320208,-0.459963,m
-1.090519,0.471189,m
0.048399,-0.303693,m
2.043496,1.705798,u
-0.760924,-1.007531,m
0.025783,-0.167297,m
0.009755,0.129561,u
-0.675759,-0.510171,m
-0.308622,-0.255097,u
0.298015,-0.301502,u
-2.161814,0.568333,m
-0.254973,-0.107539,m
2.014227,1.856224,u
-0.119354,0.194529,m
2.05782,-0.677323,u
0.551005,0.001519,m
0.109031,0.484208,u
1.789543,0.461886,m
2.025561,0.764396,u
2.348653,1.307714,u
2.021619,0.880339,u
-1.40707,0.089055,m
-0.040989,2.709545,m
1.969977,1.402829,u
2.197506,1.039914,u
0.004348,2.094476,u
2.383585,-0.935787,m
1.860227,2.593831,u
-0.141099,1.705024,u
0.338013,0.232812,m
-1.257409,-1.312274,m
0.150764,-0.539713,m
1.254643,-1.118364,m
0.945041,-0.388609,m
2.095144,0.688595,u
-1.902034,0.373586,m
1.428564,0.869468,m
0.451731,-0.520638,m
1.860877,0.951364,m
0.483473,0.497624,m
1.866218,-1.518154,m
1.982061,1.633409,u
2.108011,-1.134928,u
0.696703,-2.059383,m
1.460094,-0.683758,m
-0.34206,1.90002,u
0.599321,0.720225,m
0.02771,2.205373,u
-0.187253,-0.142087,u
1.739068,2.689446,u
0.091508,2.048025,u
-0.415105,1.715668,u
-0.207159,0.088754,u
0.987528,0.039914,m
0.157998,0.011082,u
-0.53542,-0.771949,m
-0.043736,-0.373271,m
0.204459,-0.322619,u
0.024892,-0.211799,u
0.307332,0.096109,u
0.700421,0.415833,m
2.502678,1.102422,u
2.049783,0.627792,u
1.964395,0.645238,u
0.009041,2.228845,u
1.735876,1.863511,u
1.021569,0.561296,m
-0.219881,2.070315,u
-0.191119,2.050728,u
2.098561,1.232905,u
-0.124981,0.194922,u
0.018487,2.410721,u
1.693523,2.069489,u
0.108987,2.01483,u
-0.028234,0.445008,m
-0.243799,1.61392,u
0.131039,0.191976,m
-0.231061,1.944492,u
0.056364,1.88873,u
1.848565,0.149304,u
-0.43974,1.876228,u
-0.538817,-0.553328,m
-0.173388,-1.060558,m
1.67453,1.408085,u
1.781217,1.340284,u
-0.809569,0.189259,m
-0.25966,-0.327222,m
0.069475,0.115757,u
-0.766586,-0.780639,m
0.084477,2.097396,u
2.027831,1.780143,u
-0.003847,1.944279,u
0.98542,-0.350927,m
-0.52499,0.239448,m
2.066413,1.776973,u
-1.272691,2.196597,m
0.025465,-0.194611,m
1.37993,1.841653,m
-0.283939,-0.614246,m
0.121102,2.302997,u
1.939496,0.939885,u
0.226614,1.619392,m
-0.687051,-2.252919,m
0.541663,0.163243,m
1.884596,-0.257709,m
0.379308,1.30678,m
0.047466,0.091876,u
-0.211186,-0.735188,m
1.908804,0.90922,u
-0.156899,1.929187,u
2.226552,3.476087,u
0.096338,-0.007977,u
1.832114,1.104337,u
0.151585,1.892805,u
0.837368,-0.301471,m
0.454095,0.073588,u
-0.028953,1.777125,m
-0.17007,1.325353,u
-0.24064,2.465126,m
-0.49593,1.523113,m
-0.299349,1.362016,m
1.845068,-0.512716,u
-0.141541,0.175682,m
0.231207,-0.092278,u
1.602008,-0.036133,m
0.059215,1.894647,u
0.179594,2.182589,u
-1.113781,-1.089277,m
1.254217,1.392462,m
-0.257966,1.345879,m
0.283068,1.878431,u
0.383761,0.861893,m
1.044615,-0.991659,m
1.812172,1.007004,u
-0.108988,-0.582235,m
-0.938684,0.085536,m
-0.217608,-0.05864,u
-1.577924,-0.639546,m
-0.675931,0.044628,m
2.016085,1.915168,u
2.204783,1.138405,u
0.120798,2.033937,u
-0.034394,2.040487,u
0.785272,-0.909744,m
