@relation concentric-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute class {m,u}

@data
0.641381,0.610466,u
0.391426,0.943546,m
0.675711,0.232524,m
0.491155,0.526586,u
0.743193,0.889845,m
0.09263,0.532796,m
0.561685,0.885106,m
0.648198,0.831942,m
0.494441,0.026607,m
0.370003,0.524453,u
0.96734,0.597449,m
0.214835,0.575297,u
0.301478,0.451855,u
0.329375,0.629093,u
0.572248,0.890857,m
0.839865,0.56052,m
0.486118,0.452793,u
0.81119,0.770053,m
0.823179,0.815217,m
0.313525,0.744136,m
0.677594,0.429238,u
0.494317,0.405121,u
0.66309,0.759575,m
0.838944,0.726304,m
0.502827,0.735318,u
0.413935,0.087544,m
0.803611,0.699143,m
0.104688,0.441603,m
0.90385,0.555147,m
0.468886,0.232551,u
0.75298,0.630846,u
0.37451,0.032859,m
0.571157,0.184356,m
0.391753,0.594279,u
0.467421,0.1927,m
0.456184,0.929582,m
0.524454,0.380383,u
0.349961,0.258831,u
0.960615,0.423615,m
0.398613,0.325638,u
0.672673,0.448365,u
0.365937,0.465212,u
0.672118,0.800469,m
0.859612,0.752433,m
0.612257,0.903962,m
0.272029,0.808601,m
0.061967,0.410057,m
0.169639,0.61752,m
0.201659,0.71227,m
0.547675,0.481268,u
0.385039,0.59387,u
0.841538,0.663323,m
0.689209,0.326548,u
0.445874,0.468721,u
0.545366,0.456106,u
0.586355,0.552534,u
0.154289,0.175547,m
0.61156,0.420411,u
0.09505,0.614697,m
0.520975,0.963572,m
0.348033,0.124575,m
0.633474,0.824917,m
0.266774,0.650326,u
0.122457,0.246573,m
0.601795,0.511933,u
0.715747,0.686785,u
0.468382,0.020399,m
0.423442,0.091258,m
0.417491,0.619087,u
0.784712,0.134622,m
0.363827,0.698852,u
0.697479,0.5419,u
0.567304,0.152735,m
0.624221,0.103938,m
0.353057,0.628928,u
0.36202,0.218139,m
0.967472,0.469638,m
0.525521,0.295736,u
0.403155,0.661222,u
