@relation german-weka.filters.unsupervised.instance.Randomize-S9-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute class {p,m}

@data
0.27799,0.185491,-0.123742,-0.025339,-0.081675,0.139241,0.329652,0.225836,0.110458,-0.074787,-0.188443,0.150311,-0.120052,-0.583041,0.032965,-0.173436,0.413295,-0.105292,-0.202465,-0.048218,p
0.339002,-0.0723,-0.150901,-0.0162,-0.141301,-0.209701,-0.345002,0.275401,-0.288901,-0.0912,0.315002,-0.387002,-0.330002,0.138301,0.0402,-0.211501,0.0441,-0.128401,-0.246901,-0.0588,m
-0.163619,-0.29266,0.149716,-0.036716,0.189284,-0.249171,0.181798,-0.310127,0.160054,-0.108366,0.374291,-0.121555,0.484796,0.164332,0.047767,-0.25131,0.052401,-0.152568,-0.293373,-0.069868,p
0.283122,-0.184907,0.335738,-0.01353,-0.201944,0.458508,0.127781,0.230006,-0.24128,-0.076167,0.263078,-0.323211,-0.275606,0.115504,0.033574,0.258067,0.036831,-0.107236,-0.206203,-0.049108,p
0.221504,0.050377,0.262668,-0.02019,0.127218,-0.137019,-0.225424,0.004724,0.364599,-0.05959,0.027443,0.305793,0.197981,0.090366,0.395963,0.541019,0.028815,-0.083897,0.237186,-0.03842,p
0.385709,-0.167254,0.45739,-0.035158,-0.231084,-0.238594,-0.108545,0.313346,0.15326,-0.103766,-0.261463,-0.116395,-0.136534,0.157356,0.045739,0.351576,0.050176,-0.146092,-0.280919,-0.066902,p
-0.29356,0.410984,-0.118129,-0.024189,0.32409,0.429772,0.119772,0.21559,-0.226159,-0.071394,0.032879,0.143492,-0.114606,0.108265,0.03147,-0.165568,0.394545,-0.100515,0.284166,-0.04603,m
-0.336793,0.203154,-0.135526,-0.034488,-0.082716,-0.188335,0.137412,0.247341,-0.259466,-0.081908,0.282906,-0.347571,-0.296378,0.124209,-0.471511,-0.189951,0.039607,-0.115318,-0.221745,-0.052809,m
-0.266411,0.054774,0.089514,-0.037937,-0.14642,-0.148977,-0.419864,0.195652,0.095695,-0.064791,-0.163257,-0.274936,0.1396,0.098252,0.430521,0.219523,0.03133,0.496591,-0.175405,-0.041773,m
-0.149762,-0.322037,-0.164118,-0.041764,-0.272116,-0.228069,-0.103757,0.299524,-0.314206,-0.099189,-0.544885,-0.111261,-0.159224,0.150414,0.043721,-0.230026,0.047963,-0.139647,-0.268527,-0.063951,m
0.286575,-0.314472,-0.127564,-0.032462,-0.155207,0.304328,-0.080647,0.232811,-0.603583,-0.077096,-0.194263,-0.327152,-0.056808,0.116913,0.033983,-0.178793,0.03728,-0.108544,-0.208718,-0.049707,p
-0.358613,-0.211725,-0.144306,-0.051067,-0.193077,-0.200537,0.146314,-0.249595,-0.6828,-0.087215,0.040165,0.17529,0.011447,0.132257,0.038443,-0.202258,0.042173,-0.122789,-0.236111,-0.056231,m
0.363001,-0.237075,-0.161584,-0.041119,-0.193065,-0.224547,-0.102154,0.294898,0.144237,-0.097657,-0.24607,-0.414399,0.407974,0.148091,0.043046,-0.226474,0.047222,-0.137491,-0.26438,-0.062963,p
-0.280589,-0.184291,0.300791,-0.039956,0.0532,-0.156905,-0.071382,-0.395069,0.100788,-0.068239,-0.171945,-0.289568,0.087993,0.103481,0.030079,0.231205,-0.30977,0.523018,-0.18474,-0.043996,p
0.290929,-0.190005,0.108133,-0.039391,-0.161169,-0.179964,-0.081872,0.236348,0.478874,-0.078268,0.270332,-0.332122,0.123323,0.118689,-0.450554,-0.181509,0.037846,-0.110193,-0.211889,-0.050462,p
-0.236243,-0.234353,-0.095064,-0.028916,-0.128516,0.106971,-0.372319,-0.33263,-0.182001,-0.057454,-0.14477,-0.064447,-0.207894,0.087126,-0.33074,-0.133241,-0.549973,-0.08089,0.228683,-0.037043,p
-0.096733,0.68282,-0.106006,-0.037513,0.309798,-0.014015,-0.242359,0.193466,-0.202949,-0.064067,-0.161432,-0.071865,-0.212854,0.097154,0.02824,-0.148577,0.354055,-0.0902,-0.173445,-0.041306,m
-0.123325,0.069051,0.112847,-0.047826,-0.1244,0.491689,-0.085441,0.246651,-0.258741,-0.08168,0.282117,0.164165,0.152343,0.123863,-0.470195,0.276743,0.039496,-0.114996,0.325106,-0.052662,p
0.302865,-0.332347,-0.134815,-0.027606,-0.159205,-0.187347,0.136691,0.006459,0.120342,-0.081479,-0.205305,-0.091395,0.36451,0.123558,0.035915,-0.188955,0.039399,0.624491,-0.220582,-0.052532,p
0.214889,0.427876,0.254824,-0.005515,0.192069,-0.132927,-0.060473,-0.334694,0.085385,-0.057811,0.026623,0.296661,-0.076067,-0.450696,0.384138,-0.134068,0.027955,-0.081392,0.230102,-0.037273,p
0.403009,-0.174756,0.477904,-0.010343,-0.219693,-0.023717,-0.113413,0.3274,-0.343449,-0.10842,0.04993,0.21791,-0.142658,0.164413,0.04779,-0.251435,0.052427,-0.152644,-0.293519,-0.069902,p
-0.121591,0.134042,0.11126,-0.04053,0.252719,-0.185169,0.354973,-0.466233,0.118942,-0.080531,-0.202917,0.161857,-0.129274,0.122121,0.035497,0.272852,0.44504,-0.113379,0.320535,-0.051921,p
-0.181579,-0.131318,0.194652,-0.018594,-0.058686,0.265831,-0.167052,-0.126379,-0.139888,0.260021,0.020337,-0.187389,-0.109092,0.066966,-0.25421,0.149621,0.021354,-0.062173,-0.119551,0.740841,p
-0.140399,0.078611,-0.153858,-0.031506,-0.141317,-0.21381,0.409879,0.280798,-0.294562,-0.092988,0.321174,0.186893,-0.419056,0.141011,0.040988,-0.215645,0.044964,-0.130917,0.370115,-0.059952,p
-0.092455,0.051767,-0.101318,-0.030818,0.592197,-0.140798,-0.064054,-0.354512,-0.193975,-0.061234,0.211499,0.123072,-0.22157,0.092858,-0.352498,0.20747,0.338398,-0.086211,-0.165775,-0.03948,m
0.205518,0.409218,0.243712,-0.032374,0.441955,0.102941,-0.057836,-0.158231,0.081662,-0.05529,-0.139316,0.283724,0.135133,-0.431043,0.367387,-0.128222,0.026736,-0.077842,-0.149683,-0.035647,m
-0.096521,-0.10304,-0.105774,-0.011355,-0.131008,-0.013984,-0.066871,0.193043,0.094418,0.81591,-0.161079,-0.271269,-0.25024,0.096942,0.028178,-0.148252,0.030912,-0.090002,-0.173065,-0.041216,p
-0.098434,0.055114,-0.306667,-0.006219,-0.108942,-0.149902,0.109371,0.196867,-0.206517,-0.065193,0.225175,0.334545,-0.029165,-0.508252,0.433193,-0.151189,-0.295944,-0.091786,-0.176494,-0.042033,m
-0.132504,0.07419,0.121245,-0.036951,-0.123555,-0.201786,-0.568697,0.006957,-0.277998,-0.087758,-0.221128,-0.098439,-0.03926,0.133081,0.038683,-0.203519,0.48498,-0.123555,0.349301,-0.056581,m
-0.119906,-0.19279,0.350052,-0.046499,-0.083856,0.147858,0.133229,0.006296,-0.621734,-0.079415,0.036573,0.159613,0.010423,0.120428,0.035005,-0.184169,0.438871,-0.111808,0.316092,-0.051202,p
