@relation phoneme-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute class {p,m}

@data
0.38582,0.7838,0.230443,0.299472,0.320799,p
0.317852,0.41413,0.488275,0.651376,0.320799,m
0.488973,0.384383,0.410308,0.380463,0.340942,p
0.672584,0.328018,0.395167,0.380504,0.302806,p
0.314665,0.356276,0.689369,0.855761,0.320799,p
0.534616,0.501048,0.457731,0.721981,0.214803,p
0.316129,0.309116,0.225261,0.72964,0.760783,p
0.112595,0.043193,0.293299,0.324934,0.289294,p
0.405629,0.588594,0.684975,0.270144,0.273409,p
0.765328,0.324557,0.65463,0.283678,0.288697,p
0.404798,0.548662,0.290047,0.325219,0.320799,p
0.375907,0.394955,0.674644,0.512951,0.235779,m
0.690503,0.549817,0.290601,0.56686,0.255824,p
0.373857,0.490437,0.684359,0.69978,0.192156,m
0.38183,0.37942,0.693218,0.561954,0.183846,m
0.338721,0.360001,0.49778,0.768931,0.693138,p
0.396088,0.546634,0.607879,0.581874,0.605765,p
0.336973,0.336851,0.537513,0.82825,0.144344,p
0.400731,0.385274,0.759573,0.236242,0.224952,m
0.325827,0.512741,0.51594,0.43122,0.36331,p
0.569067,0.406329,0.684618,0.555857,0.511825,m
0.371182,0.59144,0.537685,0.431805,0.320799,p
0.402334,0.456773,0.248927,0.28361,0.253662,m
0.770198,0.187095,0.340061,0.33913,0.354329,p
0.514578,0.359247,0.387426,0.380218,0.347187,p
0.410718,0.788669,0.250438,0.500138,0.41813,m
0.404779,0.449467,0.632944,0.583895,0.696141,m
0.276112,0.414446,0.640815,0.215306,0.243986,p
0.542992,0.331145,0.399043,0.392406,0.302583,p
0.280327,0.348464,0.588773,0.641539,0.510624,m
0.326418,0.306181,0.741194,0.641954,0.688029,m
0.311957,0.290925,0.453115,0.242082,0.0976,p
0.372169,0.335254,0.623,0.761063,0.194753,p
0.409765,0.667797,0.249429,0.30921,0.29207,p
0.450534,0.687725,0.280455,0.254478,0.565343,p
0.377562,0.54502,0.609772,0.460503,0.272758,p
0.344063,0.559698,0.553187,0.856383,0.173596,p
0.504807,0.548222,0.53752,0.711211,0.22747,m
0.726909,0.316084,0.401061,0.392032,0.308388,p
0.364691,0.495493,0.281816,0.32402,0.295012,p
0.359084,0.350061,0.802263,0.549125,0.519241,m
0.593973,0.367768,0.332976,0.385127,0.341765,p
0.329566,0.322096,0.557522,0.646091,0.814122,m
0.473634,0.580134,0.485016,0.708467,0.231157,p
0.310795,0.313796,0.57233,0.883592,0.320799,p
0.509124,0.648416,0.588694,0.285222,0.288681,m
0.653071,0.439208,0.426342,0.41364,0.304088,p
0.690677,0.289561,0.43866,0.339397,0.338559,p
0.313393,0.302454,0.531273,0.841265,0.128463,m
0.728564,0.195735,0.405279,0.393265,0.306297,p
0.33843,0.589623,0.560526,0.500658,0.320799,p
0.733627,0.189925,0.340393,0.384115,0.306267,p
0.400728,0.473739,0.288803,0.321842,0.302043,p
0.35407,0.387122,0.522743,0.791081,0.128018,m
0.371738,0.394575,0.75525,0.216866,0.718504,m
0.334023,0.328495,0.442036,0.564013,0.586639,p
0.329062,0.351664,0.548425,0.696524,0.320799,p
0.320036,0.298894,0.573743,0.268419,0.444442,m
0.345954,0.684658,0.261387,0.310395,0.244499,p
0.317232,0.286692,0.485004,0.699844,0.791968,m
0.816579,0.3154,0.338843,0.379781,0.339076,p
0.37959,0.48421,0.671817,0.272942,0.261054,m
0.448133,0.580404,0.28361,0.314736,0.291386,p
0.333505,0.313235,0.769707,0.565031,0.482267,p
0.330101,0.337416,0.804543,0.221291,0.403097,p
0.871268,0.316011,0.581234,0.298794,0.296638,p
0.432703,0.778869,0.266737,0.537228,0.264008,p
0.342272,0.514389,0.692698,0.653012,0.199838,m
0.349776,0.754599,0.266221,0.305908,0.282909,p
0.497084,0.68358,0.582336,0.436787,0.369259,m
0.486558,0.51594,0.290742,0.327462,0.320799,p
0.303565,0.273053,0.411535,0.490145,0.320799,p
0.365068,0.675894,0.283389,0.412629,0.28027,p
0.443134,0.529577,0.669646,0.240797,0.268988,m
0.332066,0.315175,0.69088,0.627272,0.49678,p
0.313352,0.347264,0.414201,0.450327,0.538859,m
0.404848,0.706982,0.540921,0.563597,0.240757,m
0.342497,0.449117,0.867899,0.208748,0.231314,p
0.482927,0.596504,0.502466,0.688368,0.242411,p
0.306817,0.329387,0.415692,0.494893,0.320799,m
0.412091,0.581554,0.301101,0.399389,0.292322,p
0.68874,0.404347,0.518797,0.309464,0.376086,p
0.314882,0.310139,0.466566,0.822879,0.320799,p
0.366405,0.331619,0.706004,0.619465,0.761131,m
0.578162,0.629258,0.288509,0.410058,0.361053,p
0.405935,0.541654,0.462333,0.319609,0.320799,p
0.340823,0.336424,0.50824,0.63914,0.320799,p
0.392669,0.823936,0.250294,0.303118,0.28421,p
0.342459,0.388804,0.747688,0.681068,0.207436,p
0.75303,0.378306,0.593912,0.288783,0.289854,p
0.711013,0.402327,0.491623,0.590586,0.243139,p
0.4954,0.62782,0.294545,0.410041,0.359838,p
0.268924,0.320153,0.49787,0.72106,0.063776,m
0.357697,0.324201,0.724767,0.674294,0.225943,p
0.640636,0.340534,0.342924,0.376574,0.334192,p
0.35605,0.525844,0.28296,0.279075,0.476691,m
0.449009,0.50187,0.436486,0.384653,0.320799,p
0.43304,0.669583,0.525369,0.427101,0.280989,p
0.340824,0.571027,0.522858,0.721032,0.320799,m
0.357382,0.595081,0.484829,0.429256,0.288535,p
0.340377,0.326189,0.437022,0.653707,0.510815,m
0.697173,0.282248,0.391468,0.395808,0.304816,p
0.327534,0.337105,0.660385,0.505743,0.605657,m
0.337433,0.334798,0.482665,0.276277,0.70706,p
