@relation segment1-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute Class {m,p}

@data
0.067216,0.133314,0,0,0.064632,0.001786,0.034783,0.000882,0.451057,0.400317,0.547151,0.397505,0.339557,0.698829,0.166995,0.547135,0.335114,0.148342,p
0.6324,0.520826,0,0,0.02091,0.000199,0.009945,0.000055,0.039229,0.051873,0.042723,0.023392,0.908585,0.157642,0.461097,0.047847,0.535708,0.360556,m
0.363649,0.766664,0,0,0.06273,0.001216,0.090683,0.001531,0.429366,0.398707,0.508121,0.374904,0.485082,0.61059,0.161294,0.508107,0.305594,0.169071,m
0.371551,0.370817,0.333329,0,0.024715,0.000109,0.027332,0.000823,0.14691,0.158021,0.172335,0.109127,0.863811,0.28824,0.296015,0.172299,0.40105,0.263114,m
0.758874,0.229168,0.333329,0,0.047528,0.001452,0.019882,0.000441,0.663038,0.588338,0.787192,0.602495,0.106352,0.883535,0.106273,0.787193,0.320662,0.135734,m
0.09092,0.808316,0,0,0.076039,0.001601,0.053422,0.001799,0.390909,0.36306,0.462455,0.341386,0.516785,0.567071,0.19925,0.462451,0.303904,0.168889,m
0.197641,0.433331,0,0,0.022812,0.000493,0.031062,0.000496,0.018843,0.004063,0.037559,0.013265,0.725736,0.225883,0.537009,0.037549,0.917991,0.115135,m
0.557311,0.724989,0.333329,0,0.077941,0.001782,0.069566,0.000844,0.333316,0.320105,0.385865,0.28996,0.636189,0.462356,0.246676,0.385874,0.289155,0.185726,m
0.830041,0.533329,0,0,0.011406,0.00009,0.006216,0.000047,0.036408,0.023509,0.063349,0.02028,0.733205,0.269423,0.459203,0.063321,0.696598,0.167825,p
0.82214,0.46248,0,0,0.028511,0.000077,0.255905,0.065517,0.273434,0.26095,0.315188,0.240855,0.660443,0.396477,0.32827,0.315156,0.28242,0.177814,p
